Run,Instrument,LibraryLayout,ReleaseDate,AvgSpotLen,BioProject,BioProject_num,Ecotype,Treatment,Tissue,Developmental_stage
SRR2106191,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2106193,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2106195,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2106197,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106199,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106201,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106203,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,B73 wt,drought,leaf,vegetative
SRR2106205,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2106207,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2106209,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2106211,Illumina HiSeq 2000,SINGLE,2016-01-14T00:00:00Z,50,PRJNA290180,9,rmr6-1 mutant,drought,leaf,vegetative
SRR2129982,Illumina HiSeq 2000,PAIRED,2016-01-22T00:00:00Z,202,PRJNA291064,10,ZD619,control,leaf,seedling
SRR2129983,Illumina HiSeq 2000,PAIRED,2016-01-22T00:00:00Z,202,PRJNA291064,10,ZD619,drought,leaf,seedling
SRR2129984,Illumina HiSeq 2000,PAIRED,2016-01-22T00:00:00Z,202,PRJNA291064,10,ZD619,control,stem,seedling
SRR2129985,Illumina HiSeq 2000,PAIRED,2016-01-22T00:00:00Z,202,PRJNA291064,10,ZD619,drought,stem,seedling
SRR2129986,Illumina HiSeq 2000,PAIRED,2016-01-22T00:00:00Z,202,PRJNA291064,10,ZD619,control,root,seedling
SRR2129987,Illumina HiSeq 2000,PAIRED,2016-01-22T00:00:00Z,202,PRJNA291064,10,ZD619,drought,root,seedling
SRR2144382,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144383,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144384,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144385,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144386,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144387,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144388,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144389,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144390,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144391,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144392,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144393,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144394,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144395,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144396,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144397,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144398,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144399,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144400,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144401,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144402,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,ear,vegetative
SRR2144403,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144404,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,ear,vegetative
SRR2144405,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,ear,vegetative
SRR2144406,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144407,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144408,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144409,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,leaf,vegetative
SRR2144410,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,ear,vegetative
SRR2144411,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,ear,vegetative
SRR2144412,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,ear,vegetative
SRR2144413,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,control,ear,vegetative
SRR2144414,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144415,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144416,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144417,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144418,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144419,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144420,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144421,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144422,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144423,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144424,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144425,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144426,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144427,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144428,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144429,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144430,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144431,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144432,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144433,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,vegetative
SRR2144434,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144435,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144436,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144437,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,vegetative
SRR2144438,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,reproductive
SRR2144439,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,reproductive
SRR2144440,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,reproductive
SRR2144441,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,leaf,reproductive
SRR2144442,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,reproductive
SRR2144443,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,ear,reproductive
SRR2144444,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,reproductive
SRR2144445,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,49,PRJNA291919,11,B73,drought,ear,reproductive
SRR2144446,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144447,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144448,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144449,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144450,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144451,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144452,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144453,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144454,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144455,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144456,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144457,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144458,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144459,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144460,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,control,floral,vegetative
SRR2144461,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144462,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144463,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144464,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144465,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144466,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144467,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
SRR2144468,Illumina HiSeq 2500,SINGLE,2016-02-05T00:00:00Z,48,PRJNA291919,11,B73,drought,floral,vegetative
